symbol,name,sector,market,added_date,removed_date
META,Meta Platforms,Communication Services,US,"",""
MET,MetLife,Financials,US,"",""
MTD,Mettler Toledo,Health Care,US,"",""
MGM,MGM Resorts,Consumer Discretionary,US,"",""
MCHP,Microchip Technology,Information Technology,US,"",""
MU,Micron Technology,Information Technology,US,"",""
MSFT,Microsoft,Information Technology,US,"",""
MAA,Mid-America Apartment Communities,Real Estate,US,"",""
MRNA,Moderna,Health Care,US,"",""
TAP,Molson Coors Beverage Company,Consumer Staples,US,"",""
MDLZ,Mondelez International,Consumer Staples,US,"",""
MPWR,Monolithic Power Systems,Information Technology,US,"",""
MNST,Monster Beverage,Consumer Staples,US,"",""
MCO,Moody's Corporation,Financials,US,"",""
MS,Morgan Stanley,Financials,US,"",""
MOS,Mosaic Company (The),Materials,US,"",""
MSI,Motorola Solutions,Information Technology,US,"",""
MSCI,MSCI Inc.,Financials,US,"",""
NDAQ,"Nasdaq, Inc.",Financials,US,"",""
NTAP,NetApp,Information Technology,US,"",""
NFLX,Netflix,Communication Services,US,"",""
NEM,Newmont,Materials,US,"",""
NWSA,News Corp (Class A),Communication Services,US,"",""
NWS,News Corp (Class B),Communication Services,US,"",""
NEE,NextEra Energy,Utilities,US,"",""
NKE,"Nike, Inc.",Consumer Discretionary,US,"",""
NI,NiSource,Utilities,US,"",""
NDSN,Nordson Corporation,Industrials,US,"",""
NSC,Norfolk Southern,Industrials,US,"",""
NTRS,Northern Trust,Financials,US,"",""
NOC,Northrop Grumman,Industrials,US,"",""
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,US,"",""
NRG,NRG Energy,Utilities,US,"",""
NUE,Nucor,Materials,US,"",""
NVDA,Nvidia,Information Technology,US,"",""
NVR,"NVR, Inc.",Consumer Discretionary,US,"",""
NXPI,NXP Semiconductors,Information Technology,US,"",""
ORLY,O’Reilly Automotive,Consumer Discretionary,US,"",""
OXY,Occidental Petroleum,Energy,US,"",""
ODFL,Old Dominion,Industrials,US,"",""
OMC,Omnicom Group,Communication Services,US,"",""
ON,ON Semiconductor,Information Technology,US,"",""
OKE,Oneok,Energy,US,"",""
ORCL,Oracle Corporation,Information Technology,US,"",""
OTIS,Otis Worldwide,Industrials,US,"",""
PCAR,Paccar,Industrials,US,"",""
PKG,Packaging Corporation of America,Materials,US,"",""
PLTR,Palantir Technologies,Information Technology,US,"",""
PANW,Palo Alto Networks,Information Technology,US,"",""
PSKY,Paramount Skydance Corporation,Communication Services,US,"",""
PH,Parker Hannifin,Industrials,US,"",""
PAYX,Paychex,Industrials,US,"",""
PYPL,PayPal,Financials,US,"",""
PNR,Pentair,Industrials,US,"",""
PEP,PepsiCo,Consumer Staples,US,"",""
PFE,Pfizer,Health Care,US,"",""
PCG,PG&E Corporation,Utilities,US,"",""
PM,Philip Morris International,Consumer Staples,US,"",""
PSX,Phillips 66,Energy,US,"",""
PNW,Pinnacle West Capital,Utilities,US,"",""
PNC,PNC Financial Services,Financials,US,"",""
POOL,Pool Corporation,Consumer Discretionary,US,"",""
PPG,PPG Industries,Materials,US,"",""
PPL,PPL Corporation,Utilities,US,"",""
PFG,Principal Financial Group,Financials,US,"",""
PG,Procter & Gamble,Consumer Staples,US,"",""
PGR,Progressive Corporation,Financials,US,"",""
PLD,Prologis,Real Estate,US,"",""
PRU,Prudential Financial,Financials,US,"",""
PEG,Public Service Enterprise Group,Utilities,US,"",""
PTC,PTC Inc.,Information Technology,US,"",""
PSA,Public Storage,Real Estate,US,"",""
PHM,PulteGroup,Consumer Discretionary,US,"",""
PWR,Quanta Services,Industrials,US,"",""
QCOM,Qualcomm,Information Technology,US,"",""
DGX,Quest Diagnostics,Health Care,US,"",""
Q,Qnity Electronics,Information Technology,US,"",""
RL,Ralph Lauren Corporation,Consumer Discretionary,US,"",""
RJF,Raymond James Financial,Financials,US,"",""
RTX,RTX Corporation,Industrials,US,"",""
O,Realty Income,Real Estate,US,"",""
REG,Regency Centers,Real Estate,US,"",""
REGN,Regeneron Pharmaceuticals,Health Care,US,"",""
RF,Regions Financial Corporation,Financials,US,"",""
RSG,Republic Services,Industrials,US,"",""
RMD,ResMed,Health Care,US,"",""
RVTY,Revvity,Health Care,US,"",""
HOOD,Robinhood Markets,Financials,US,"",""
ROK,Rockwell Automation,Industrials,US,"",""
ROL,"Rollins, Inc.",Industrials,US,"",""
ROP,Roper Technologies,Information Technology,US,"",""
ROST,Ross Stores,Consumer Discretionary,US,"",""
RCL,Royal Caribbean Group,Consumer Discretionary,US,"",""
SPGI,S&P Global,Financials,US,"",""
CRM,Salesforce,Information Technology,US,"",""
SNDK,Sandisk,Information Technology,US,"",""
SBAC,SBA Communications,Real Estate,US,"",""
SLB,Schlumberger,Energy,US,"",""
STX,Seagate Technology,Information Technology,US,"",""
SRE,Sempra,Utilities,US,"",""
NOW,ServiceNow,Information Technology,US,"",""
SHW,Sherwin-Williams,Materials,US,"",""
SPG,Simon Property Group,Real Estate,US,"",""
SWKS,Skyworks Solutions,Information Technology,US,"",""
SJM,J.M. Smucker Company (The),Consumer Staples,US,"",""
SW,Smurfit Westrock,Materials,US,"",""
SNA,Snap-on,Industrials,US,"",""
SOLV,Solventum,Health Care,US,"",""
SO,Southern Company,Utilities,US,"",""
LUV,Southwest Airlines,Industrials,US,"",""
SWK,Stanley Black & Decker,Industrials,US,"",""
SBUX,Starbucks,Consumer Discretionary,US,"",""
STT,State Street Corporation,Financials,US,"",""
STLD,Steel Dynamics,Materials,US,"",""
STE,Steris,Health Care,US,"",""
SYK,Stryker Corporation,Health Care,US,"",""
SMCI,Supermicro,Information Technology,US,"",""
SYF,Synchrony Financial,Financials,US,"",""
SNPS,Synopsys,Information Technology,US,"",""
